Language,Full/Limited,Basic/Extended/8way,system,Total time(sec),Elapsed time(sec),Total time,Elapsed time,Total Elapsed Time,Total GPU Time
201-Haitian,Limited,basic,PLP Search,19755,590,5:29:15,0:09:50,,0:39:20
201-Haitian,Limited,basic,DNN Ingestion,402381,14135,111:46:21,3:55:35,,15:42:20
201-Haitian,Limited,basic,DNN Ingestion GPU,1447194,25942,401:59:54,7:12:22,11:07:57,28:49:28
201-Haitian,Limited,basic,DNN Search,21695,538,6:01:35,0:08:58,,0:35:52
201-Haitian,Limited,basic,BNF Ingestion,922796,16751,256:19:56,4:39:11,,18:36:44
201-Haitian,Limited,basic,BNF Ingestion GPU,132343,6958,36:45:43,1:55:58,6:35:09,7:43:52
201-Haitian,Limited,basic,BNF Search,28322,692,7:52:02,0:11:32,,0:46:08
201-Haitian,Limited,basic,BNF_SEMISUP Ingestion,2725738,27158,757:08:58,7:32:38,,30:10:32
201-Haitian,Limited,basic,BNF_SEMISUP Ingestion GPU,3935863,63674,1093:17:43,17:41:14,25:13:52,70:44:56
201-Haitian,Limited,basic,BNF_SEMISUP Search,22933,568,6:22:13,0:09:28,,0:37:52
201-Haitian,Limited,basic,4way comb Ingestion,4671865,69420,1297:44:25,19:17:00,,77:08:00
201-Haitian,Limited,basic,4way comb Ingestion GPU,5515400,96574,1532:03:20,26:49:34,46:06:34,107:18:16
201-Haitian,Limited,basic,4way comb Search,91064,2313,25:17:44,0:38:33,,2:34:12
201-Haitian,Limited,extended,PLP Ingestion,776744,19202,215:45:44,5:20:02,,21:20:08
201-Haitian,Limited,extended,PLP Search,19607,739,5:26:47,0:12:19,,0:49:16
201-Haitian,Limited,extended,DNN Ingestion,577803,9435,160:30:03,2:37:15,,10:29:00
201-Haitian,Limited,extended,DNN Ingestion GPU,1447194,25942,401:59:54,7:12:22,9:49:37,28:49:28
201-Haitian,Limited,extended,DNN Search,36731,3335,10:12:11,0:55:35,,3:42:20
201-Haitian,Limited,extended,BNF Ingestion,1140031,19599,316:40:31,5:26:39,,21:46:36
201-Haitian,Limited,extended,BNF Ingestion GPU,132343,6958,36:45:43,1:55:58,7:22:37,7:43:52
201-Haitian,Limited,extended,BNF Search,26152,627,7:15:52,0:10:27,,0:41:48
201-Haitian,Limited,extended,BNF_SEMISUP Ingestion,2931174,29689,814:12:54,8:14:49,,32:59:16
201-Haitian,Limited,extended,BNF_SEMISUP Ingestion GPU,3935863,63674,1093:17:43,17:41:14,25:56:03,70:44:56
201-Haitian,Limited,extended,BNF_SEMISUP Search,21543,518,5:59:03,0:08:38,,0:34:32
201-Haitian,Limited,extended,4way comb Ingestion,4844196,66594,1345:36:36,18:29:54,,73:59:36
201-Haitian,Limited,extended,4way comb Ingestion GPU,5515400,96574,1532:03:20,26:49:34,45:19:28,107:18:16
201-Haitian,Limited,extended,4way comb Search,102410,5162,28:26:50,1:26:02,,5:44:08
201-Haitian,Limited,8-way,8way comb Ingestion,6749841,106626,1874:57:21,29:37:06,,118:28:24
201-Haitian,Limited,8-way,8way comb Ingestion GPU,5515400,96574,1532:03:20,26:49:34,56:26:40,107:18:16
201-Haitian,Limited,8-way,8way comb Search,193474,7475,53:44:34,2:04:35,,8:18:20
203-Lao,Limited,basic,PLP Ingestion,607113,14042,168:38:33,3:54:02,,15:36:08
203-Lao,Limited,basic,PLP Search,14994,461,4:09:54,0:07:41,,0:30:44
203-Lao,Limited,basic,DNN Ingestion,319368,10409,88:42:48,2:53:29,,11:33:56
203-Lao,Limited,basic,DNN Ingestion GPU,1412556,22683,392:22:36,6:18:03,9:11:32,25:12:12
203-Lao,Limited,basic,DNN Search,16553,428,4:35:53,0:07:08,,0:28:32
203-Lao,Limited,basic,BNF Ingestion,852946,14912,236:55:46,4:08:32,,16:34:08
203-Lao,Limited,basic,BNF Ingestion GPU,114768,6030,31:52:48,1:40:30,5:49:02,6:42:00
203-Lao,Limited,basic,BNF Search,24901,616,6:55:01,0:10:16,,0:41:04
203-Lao,Limited,basic,BNF_SEMISUP Ingestion,2601102,26362,722:31:42,7:19:22,,29:17:28
203-Lao,Limited,basic,BNF_SEMISUP Ingestion GPU,3702243,58372,1028:24:03,16:12:52,23:32:14,64:51:28
203-Lao,Limited,basic,BNF_SEMISUP Search,19059,462,5:17:39,0:07:42,,0:30:48
203-Lao,Limited,basic,4way comb Ingestion,4285429,58999,1190:23:49,16:23:19,,65:33:16
203-Lao,Limited,basic,4way comb Ingestion GPU,5229567,87085,1452:39:27,24:11:25,40:34:44,96:45:40
203-Lao,Limited,basic,4way comb Search,74928,1919,20:48:48,0:31:59,,2:07:56
203-Lao,Limited,extended,PLP Ingestion,633608,14724,176:00:08,4:05:24,,16:21:36
203-Lao,Limited,extended,PLP Search,11721,344,3:15:21,0:05:44,,0:22:56
203-Lao,Limited,extended,DNN Ingestion,431035,6548,119:43:55,1:49:08,,7:16:32
203-Lao,Limited,extended,DNN Ingestion GPU,1412556,22683,392:22:36,6:18:03,8:07:11,25:12:12
203-Lao,Limited,extended,DNN Search,12949,354,3:35:49,0:05:54,,0:23:36
203-Lao,Limited,extended,BNF Ingestion,1005818,16403,279:23:38,4:33:23,,18:13:32
203-Lao,Limited,extended,BNF Ingestion GPU,114768,6030,31:52:48,1:40:30,6:13:53,6:42:00
203-Lao,Limited,extended,BNF Search,17401,450,4:50:01,0:07:30,,0:30:00
203-Lao,Limited,extended,BNF_SEMISUP Ingestion,2561408,25878,711:30:08,7:11:18,,28:45:12
203-Lao,Limited,extended,BNF_SEMISUP Ingestion GPU,3702243,58372,1028:24:03,16:12:52,23:24:10,64:51:28
203-Lao,Limited,extended,BNF_SEMISUP Search,13783,358,3:49:43,0:05:58,,0:23:52
203-Lao,Limited,extended,4way comb Ingestion,4113946,52648,1142:45:46,14:37:28,,58:29:52
203-Lao,Limited,extended,4way comb Ingestion GPU,5229567,87085,1452:39:27,24:11:25,38:48:53,96:45:40
203-Lao,Limited,extended,4way comb Search,54495,1356,15:08:15,0:22:36,,1:30:24
203-Lao,Limited,8-way,8way comb Ingestion,5907745,82003,1641:02:25,22:46:43,,91:06:52
203-Lao,Limited,8-way,8way comb Ingestion GPU,5229567,87085,1452:39:27,24:11:25,46:58:08,96:45:40
203-Lao,Limited,8-way,8way comb Search,129423,3275,35:57:03,0:54:35,,3:38:20
206-Zulu,Limited,basic,PLP Ingestion,704221,19734,195:37:01,5:28:54,,21:55:36
206-Zulu,Limited,basic,PLP Search,22541,965,6:15:41,0:16:05,,1:04:20
206-Zulu,Limited,basic,DNN Ingestion,339561,12598,94:19:21,3:29:58,,13:59:52
206-Zulu,Limited,basic,DNN Ingestion GPU,1248538,20113,346:48:58,5:35:13,9:05:11,22:20:52
206-Zulu,Limited,basic,DNN Search,14265,793,3:57:45,0:13:13,,0:52:52
206-Zulu,Limited,basic,BNF Ingestion,887066,18425,246:24:26,5:07:05,,20:28:20
206-Zulu,Limited,basic,BNF Ingestion GPU,117714,6350,32:41:54,1:45:50,6:52:55,7:03:20
206-Zulu,Limited,basic,BNF Search,21605,916,6:00:05,0:15:16,,1:01:04
206-Zulu,Limited,basic,BNF_SEMISUP Ingestion,2367687,28181,657:41:27,7:49:41,,31:18:44
206-Zulu,Limited,basic,BNF_SEMISUP Ingestion GPU,3265626,51316,907:07:06,14:15:16,22:04:57,57:01:04
206-Zulu,Limited,basic,BNF_SEMISUP Search,19155,847,5:19:15,0:14:07,,0:56:28
206-Zulu,Limited,basic,4way comb Ingestion,4182720,63260,1161:52:00,17:34:20,,70:17:20
206-Zulu,Limited,basic,4way comb Ingestion GPU,4631878,77779,1286:37:58,21:36:19,39:10:39,86:25:16
206-Zulu,Limited,basic,4way comb Search,65323,2285,18:08:43,0:38:05,,2:32:20
206-Zulu,Limited,extended,PLP Ingestion,937129,23301,260:18:49,6:28:21,,25:53:24
206-Zulu,Limited,extended,PLP Search,34107,498,9:28:27,0:08:18,,0:33:12
206-Zulu,Limited,extended,DNN Ingestion,635545,13626,176:32:25,3:47:06,,15:08:24
206-Zulu,Limited,extended,DNN Ingestion GPU,1248538,20113,346:48:58,5:35:13,9:22:19,22:20:52
206-Zulu,Limited,extended,DNN Search,13700,253,3:48:20,0:04:13,,0:16:52
206-Zulu,Limited,extended,BNF Ingestion,1259628,22914,349:53:48,6:21:54,,25:27:36
206-Zulu,Limited,extended,BNF Ingestion GPU,117714,6350,32:41:54,1:45:50,8:07:44,7:03:20
206-Zulu,Limited,extended,BNF Search,34186,611,9:29:46,0:10:11,,0:40:44
206-Zulu,Limited,extended,BNF_SEMISUP Ingestion,2700278,32637,750:04:38,9:03:57,,36:15:48
206-Zulu,Limited,extended,BNF_SEMISUP Ingestion GPU,3265626,51316,907:07:06,14:15:16,23:19:13,57:01:04
206-Zulu,Limited,extended,BNF_SEMISUP Search,31488,486,8:44:48,0:08:06,,0:32:24
206-Zulu,Limited,extended,4way comb Ingestion,4805068,61893,1334:44:28,17:11:33,,68:46:12
206-Zulu,Limited,extended,4way comb Ingestion GPU,4631878,77779,1286:37:58,21:36:19,38:47:52,86:25:16
206-Zulu,Limited,extended,4way comb Search,108606,1728,30:10:06,0:28:48,,1:55:12
206-Zulu,Limited,8-way,8way comb Ingestion,6628930,93543,1841:22:10,25:59:03,,103:56:12
206-Zulu,Limited,8-way,8way comb Ingestion GPU,4631878,77779,1286:37:58,21:36:19,47:35:22,86:25:16
206-Zulu,Limited,8-way,8way comb Search,173929,4013,48:18:49,1:06:53,,4:27:32
204-Tamil,Full,basic,PLP Ingestion,5770490,149199,786:54:50,41:26:39,,165:46:36
204-Tamil,Full,basic,PLP Search,43264,2352,12:01:04,0:39:12,,2:36:48
204-Tamil,Full,basic,DNN Ingestion,1980755,33900,70:12:35,9:25:00,,37:40:00
204-Tamil,Full,basic,DNN Ingestion GPU,3002057,34102,17:54:17,9:28:22,18:53:22,37:53:28
204-Tamil,Full,basic,DNN Search,51148,1523,14:12:28,0:25:23,,1:41:32
204-Tamil,Full,basic,BNF Ingestion,6366937,102411,64:35:37,28:26:51,,113:47:24
204-Tamil,Full,basic,BNF Ingestion GPU,2916396,112818,18:06:36,7:20:18,35:47:09,29:21:12
204-Tamil,Full,basic,BNF Search,53174,2719,14:46:14,0:45:19,,3:01:16
204-Tamil,Full,basic,DNN_MPE Ingestion,8931271,128007,80:54:31,35:33:27,,142:13:48
204-Tamil,Full,basic,DNN_MPE Ingestion GPU,4538232,58255,36:37:12,16:10:55,51:44:22,64:43:40
204-Tamil,Full,basic,DNN_MPE Search,288203,6839,32:03:23,1:53:59,,7:35:56
204-Tamil,Full,basic,4way comb Ingestion,20487886,349856,867:04:46,97:10:56,,388:43:44
204-Tamil,Full,basic,4way comb Ingestion GPU,7454628,171073,54:43:48,23:31:13,120:42:09,94:04:52
204-Tamil,Full,basic,4way comb Search,432654,13226,72:10:54,3:40:26,,14:41:44
204-Tamil,Limited,basic,DNN_RESCORED Ingestion,6641445,113879,1844:50:45,31:37:59,,126:31:56
204-Tamil,Limited,basic,DNN_RESCORED Ingestion GPU,109087,28923,30:18:07,8:02:03,39:40:02,32:08:12
204-Tamil,Limited,basic,DNN_RESCORED Search,190173,6196,52:49:33,1:43:16,,6:53:04
204-Tamil,Limited,basic,DNN Ingestion,3190874,31800,886:21:14,8:50:00,,35:20:00
204-Tamil,Limited,basic,DNN Ingestion GPU,109087,28923,30:18:07,8:02:03,16:52:03,32:08:12
204-Tamil,Limited,basic,DNN Search,164648,5447,45:44:08,1:30:47,,6:03:08
204-Tamil,Limited,basic,BNF_RESCORED Ingestion,4754819,65730,1320:46:59,18:15:30,,73:02:00
204-Tamil,Limited,basic,BNF_RESCORED Ingestion GPU,375013,23108,104:10:13,6:25:08,24:40:38,25:40:32
204-Tamil,Limited,basic,BNF_RESCORED Search,110146,3218,30:35:46,0:53:38,,3:34:32
204-Tamil,Limited,basic,BNF Ingestion,4703067,62959,1306:24:27,17:29:19,,69:57:16
204-Tamil,Limited,basic,BNF Ingestion GPU,375013,23108,104:10:13,6:25:08,23:54:27,25:40:32
204-Tamil,Limited,basic,BNF Search,413623,12038,114:53:43,3:20:38,,13:22:32
204-Tamil,Limited,basic,BNF_SEMISUP Ingestion,7465384,86117,2073:43:04,23:55:17,,95:41:08
204-Tamil,Limited,basic,BNF_SEMISUP Ingestion GPU,274032,31118,76:07:12,8:38:38,32:33:55,34:34:32
